,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1973.0,12.0,27.0,0.0,62.0
1,1969.0,2.0,31.0,1.0,64.0
2,1969.0,3.0,31.0,2.0,67.0
3,1967.0,1.0,33.0,3.0,68.0
4,1966.0,0.0,34.0,4.0,68.0
5,1966.0,0.0,34.0,5.0,68.0
6,1966.0,0.0,34.0,6.0,68.0
7,1966.0,0.0,34.0,7.0,68.0
8,1966.0,0.0,34.0,8.0,68.0
9,1966.0,0.0,34.0,9.0,68.0
10,1966.0,0.0,34.0,10.0,68.0
11,1966.0,0.0,34.0,11.0,68.0
12,1966.0,0.0,34.0,12.0,68.0
13,1966.0,0.0,34.0,13.0,68.0
14,1966.0,0.0,34.0,14.0,68.0
15,1966.0,0.0,34.0,15.0,68.0
16,1966.0,0.0,34.0,16.0,68.0
17,1966.0,0.0,34.0,17.0,68.0
18,1966.0,0.0,34.0,18.0,68.0
19,1966.0,0.0,34.0,19.0,68.0
20,1966.0,0.0,34.0,20.0,68.0
